Salonen added that data shows producers ' pulp inventories in North America are declining . ',negative,salonen add data show producer  pulp inventory north america decline  ,0
The Elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons ( EUR 32 mln ) for the fifth quarter running .,negative,elcoteq group recently announce last three month previous year bring major loss half billion kroon  eur 32 mln  fifth quarter run ,0
"For the current year , Raute expects its net sales to increase and the operating result -- to be positive .",positive,current year  raute expect net sale increase operate result  positive ,2
"Turnover surged to EUR61 .8 m from EUR47 .6 m due to increasing service demand , especially in the third quarter , and the overall growth of its business .",positive,turnover surge eur61 8 eur47 6 due increase service demand  especially third quarter  overall growth business ,2
"As a result , the company currently anticipates net sales to increase and the operating result to be positive .",positive,result  company currently anticipate net sale increase operate result positive ,2
"`` UPM 's deliveries increased during the third quarter by 4 percent , and the efficiency of operations improved , '' Chief Executive Jussi Pesonen said .",positive, upm delivery increase third quarter 4 percent  efficiency operation improve   chief executive jussi pesonen say ,2
"Global sports equipment maker Amer Sports Corp. , whose brands include Atomic , Salomon and Wilson , saw a 64 percent increase in third-quarter net profit to EURO 47.4 million $ 65 million on strong sales and cost cuts .",positive,global sport equipment maker amer sport corp  whose brand include atomic  salomon wilson  saw 64 percent increase thirdquarter net profit euro 474 million  65 million strong sale cost cut ,2
"Due to rapid expansion , the market share of Tallink in terms of passenger carriage through Tallinna Sadam Port of Tallinn totaled 55 percent in November against 45.7 percent in November 2005 .",positive,due rapid expansion  market share tallink term passenger carriage tallinna sadam port tallinn total 55 percent november 457 percent november 2005 ,2
Cash Flow from Operations for the most recent quarter also reached a eight year low .,negative,cash flow operation recent quarter also reach eight year low ,0
"Earnings per share ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02 .",positive,earn per share  eps  amount eur0 98  loss eur0 02 ,2
"Earnings per share ( EPS ) were EUR0 .03 , up from the loss of EUR0 .083 .",positive,earn per share  eps  eur0 03  loss eur0 083 ,2
"Operating profit totalled EUR 0.4 mn , up from an operating loss of EUR 0.8 mn year-on-year .",positive,operate profit total eur 04 mn  operate loss eur 08 mn yearonyear ,2
"Operating profit totalled EUR 7.0 mn , up from a loss of EUR 4.0 mn in the second quarter of 2009 .",positive,operate profit total eur 70 mn  loss eur 40 mn second quarter 2009 ,2
Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,positive,operate result include nonrecurring item rise eur 146mn loss eur 267mn 2009 ,2
"Tiimari , the Finnish retailer , reported to have geenrated quarterly revenues totalling EUR 1.3 mn in the 4th quarter 2009 , up from EUR 0.3 mn loss in 2008 .",positive,tiimari  finnish retailer  report geenrated quarterly revenue total eur 13 mn 4th quarter 2009  eur 03 mn loss 2008 ,2
"Earnings per share EPS amounted to EUR0 .03 , up from the loss of EUR0 .08 .",positive,earn per share eps amount eur0 03  loss eur0 08 ,2
"Operating profit totalled EUR 5.8 mn , up from a loss of EUR 1.7 mn in the fourth quarter of 2009 .",positive,operate profit total eur 58 mn  loss eur 17 mn fourth quarter 2009 ,2
"Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier .",positive,operate profit wa eur 06 mn  loss eur 19mn year earlier ,2
The investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 % .,positive,investment operational change enable additional optimisation work hour thereby cost save 7  9  ,2
"Shareholder 's full name and ID code : - Petri Ailus , born 15.9.1966 For further information , please contact Isto Hantila , CEO , tel. +358 9 591 8342 .",neutral,shareholder full name id code   petri ailus  bear 1591966 information  please contact isto hantila  ceo  tel 358 9 591 8342 ,1
"9 September 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today its net sales rose by 2 % year-on-year to EUR5 .7 m in August 2010 , driven by growth in Finland , while demand in the Baltics remained weak .",positive,9 september 2010  finnish stationery gift retailer tiimari hel  tii1v say today net sale rise 2  yearonyear eur5 7 august 2010  drive growth finland  demand baltic remain weak ,2
"By 14:29 CET on Monday , shares in Bavarian Nordic had climbed 1.21 % to DKK250 on the stock exchange in Copenhagen after having lost 7.41 % in the past month .",positive,1429 cet monday  share bavarian nordic climb 121  dkk250 stock exchange copenhagen lose 741  past month ,2
"For example , net sales increased by 5.9 % from the first quarter , and EBITDA increased from a negative EUR 0.2 mn in the first quarter of 2009 .",positive,example  net sale increase 59  first quarter  ebitda increase negative eur 02 mn first quarter 2009 ,2
"At this growth rate , paying off the national debt will be extremely painful .",negative,growth rate  pay national debt extremely painful ,0
`` Our customer has been satisfied with Basware Invoice Automation solution and extends the implementation to new geographies .,positive, customer ha satisfy basware invoice automation solution extend implementation new geography ,2
` By separating side businesses we will be able to faster expand and develop Tapro retail network .,positive, separate side business able faster expand develop tapro retail network ,2
"According to Viking Line 's Managing Director , Nils-Erik Eklund , the company 's Board of Directors is very satisfied with Viking Line 's performance .",positive,accord viking line manage director  nilserik eklund  company board director satisfy viking line performance ,2
Combining this deep domain expertise with our Application Service Management ASM and outsourcing service offerings has now proved to be a winning combination .,positive,combine deep domain expertise application service management asm outsource service offer ha prove win combination ,2
"Finnish construction company YIT Oyj said on November 13 , 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company Tapiola Real Estate Oy .",positive,finnish construction company yit oyj say november 13  2007 win 70 mln euro  1028 mln contract construct new office build local property company tapiola real estate oy ,2
Major Order in India Comptel Corporation has received a significant long-term order for mediation and provisioning solutions being used by a leading operator in India .,positive,major order india comptel corporation ha receive significant longterm order mediation provision solution use lead operator india ,2
Olvi has posted a strong set of figures for the first six months of this year .,positive,olvi ha post strong set figure first six month year ,2
Operating profit improved by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006 .,positive,operate profit improve 27  eur 5798 mn eur 4572 mn 2006 ,2
Our standardised services have met with a positive reception among our customers as well as at Itella .,positive,standardise service meet positive reception among customer well itella ,2
Performance in the second half of 2009 exceeded expectations .,positive,performance second half 2009 exceed expectation ,2
Ponsse projects the forest machine markets to improve more than expected in 2010 from the previous year .,positive,ponsse project forest machine market improve expect 2010 previous year ,2
"Ragutis , which is based in Lithuania 's second-largest city Kaunas , boosted its sales last year 22.3 per cent to 36.4 million liters .",positive,ragutis  base lithuania secondlargest city kaunas  boost sale last year 223 per cent 364 million liter ,2
"Raisio 's bid to buy Glisten is a `` win-win '' deal for both companies , the chairman of the UK snacks firm told just-food today 10 February .",positive,raisio bid buy glisten  winwin  deal company  chairman uk snack firm tell justfood today 10 february ,2
The aim is an annual improvement in Ruukki Construction 's operating profit of more than EUR 3 million USD 4.1 m starting in 2009 .,positive,aim annual improvement ruukki construction operate profit eur 3 million usd 41 start 2009 ,2
"The transaction will have a positive impact of around EUR2m on earnings , which Ruukki will recognize during the fourth quarter of this year .",positive,transaction positive impact around eur2m earn  ruukki recognize fourth quarter year ,2
`` The combined activities will create value for shareholders and be good for our employees and customers .,positive, combine activity create value shareholder good employee customer ,2
`` The trend in the sports and leisure markets was favorable in the first months of the year .,positive, trend sport leisure market wa favorable first month year ,2
27 January 2011 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today it has won a EUR1 .2 m ( USD1 .6 m ) contract from state-owned Lithuanian Social Insurance Institution ( SODRA ) .,positive,27 january 2011  finnish solution provider affecto oyj  hel  afe1v  say today ha win eur1 2  usd1 6  contract stateowned lithuanian social insurance institution  sodra  ,2
Finnish construction group Lemmink+ñinen has been awarded two road building contracts by the Lithuanian transport administration .,positive,finnish construction group lemminkñinen ha award two road build contract lithuanian transport administration ,2
"Finnish flexible packaging manufacturer Suominen Corporation reports net sales of EUR 54.5 mn in the first quarter of 2008 , compared with EUR 54.3 mn a year earlier .",positive,finnish flexible package manufacturer suominen corporation report net sale eur 545 mn first quarter 2008  compare eur 543 mn year earlier ,2
"Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries ' ( SFI ) pulp mill in Sabah , Malaysia .",positive,finnish metso paper ha award contract rebuild sabah forest industry   sfi  pulp mill sabah  malaysia ,2
Finnish Outokumpu Technology has been awarded several new grinding technology contracts .,positive,finnish outokumpu technology ha award several new grind technology contract ,2
Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+Ârbindelsen bridge in Gothenburg in Sweden .,positive,finnish rautaruukki ha award contract supply install steel superstructure partihallsfârbindelsen bridge gothenburg sweden ,2
"According to Atria 's President and CEO Matti Tikkakoski , the company 's Swedish operations significantly improved in the first quarter .",positive,accord atrium president ceo matti tikkakoski  company swedish operation significantly improve first quarter ,2
"According to Nordic financial group Nordea 's analyst Sami Sarkamies , this makes Nokia 's portfolio competitive again .",positive,accord nordic financial group nordea analyst sami sarkamies  make nokia portfolio competitive ,2
"Arvo Vuorenmaa , the Loviisa plant 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite confident '' about approval being granted .",positive,arvo vuorenmaa  loviisa plant general manager say application new licence wa  standard  procedure wa  quite confident  approval grant ,2
"BasWare 's CEO Ilkka Sihvo comments in conjunction with the Interim Report : `` As a whole , BasWare succeeded well in the second quarter of 2007 .",positive,basware ceo ilkka sihvo comment conjunction interim report   whole  basware succeed well second quarter 2007 ,2
Cision says the sale will return its U.K. operation to profitability .,positive,cision say sale return uk operation profitability ,2
"Citigroup , Inc ( NYSE : C ) has announced that its Global Transaction Services ( GTS ) business has been awarded a new mandate by Finland-based Pohjola Bank Group .",positive,citigroup  inc  nyse  c  ha announce global transaction service  gts  business ha award new mandate finlandbased pohjola bank group ,2
"Department store sales improved by 14 % to EUR 1,070.6 mn .",positive,department store sale improve 14  eur 10706 mn ,2
"Finland 's national carrier Finnair PLC carried a record 8.5 million passengers in 2005 , an increase of 4.5 percent on the previous year , the airline reported Tuesday .",positive,finland national carrier finnair plc carry record 85 million passenger 2005  increase 45 percent previous year  airline report tuesday ,2
"Finnair PLC carried a record 8.8 million passengers in 2006 , an increase of 3.5 percent on the previous year , the Finnish national carrier reported Tuesday .",positive,finnair plc carry record 88 million passenger 2006  increase 35 percent previous year  finnish national carrier report tuesday ,2
"Finnish consulting and engineering group Poyry Plc ( OMX Helsinki : POY ) said on Wednesday ( 1 October ) that it has been awarded a contract by Tanqia Dibba FZC as owner-engineer for the wastewater system of Dibba , Emirate of Fujairah , UAE .",positive,finnish consult engineer group poyry plc  omx helsinki  poy  say wednesday  1 october  ha award contract tanqia dibba fzc ownerengineer wastewater system dibba  emirate fujairah  uae ,2
Finnish handling systems company Cargotec Oyj ( HEL : CGCBV ) said today that it won a EUR 13 million ( USD 16.6 m ) contract to deliver MacGregor hatch covers for ships ordered by Norwegian shipowner Grieg Shipping .,positive,finnish handle system company cargotec oyj  hel  cgcbv  say today win eur 13 million  usd 166  contract deliver macgregor hatch cover ship order norwegian shipowner grieg ship ,2
"Finnish steel maker Rautaruukki Oyj ( Ruukki ) said on July 7 , 2008 that it won a 9.0 mln euro ( $ 14.1 mln ) contract to supply and install steel superstructures for Partihallsforbindelsen bridge project in Gothenburg , western Sweden .",positive,finnish steel maker rautaruukki oyj  ruukki  say july 7  2008 win 90 mln euro   141 mln  contract supply install steel superstructure partihallsforbindelsen bridge project gothenburg  western sweden ,2
"However , the broker gave an `` outperform '' recommendation on the stock .",positive,however  broker give  outperform  recommendation stock ,2
Last year SysOpen Digia invested in IBM product know-how in the building of portal and trading place systems and successfully implemented customer solutions supported by it .,positive,last year sysopen digia invest ibm product knowhow build portal trade place system successfully implement customer solution support ,2
"( ADP News ) - Oct 1 , 2008 - Finnish consulting and engineering company Poyry Oyj ( OMX : POY1V ) said today it was awarded a EUR 5.2 million ( USD 7.4 m ) extension to their existing consultancy engineering contract with Venezuel",positive, adp news   oct 1  2008  finnish consult engineer company poyry oyj  omx  poy1v  say today wa award eur 52 million  usd 74  extension exist consultancy engineer contract venezuel,2
"( ADP News ) - Oct 31 , 2008 - Finnish food company Raisio Oyj ( OMX : RAIVV ) said today that its net profit jumped to EUR 16.4 million ( USD 20.9 m ) for the first nine months of 2008 from EUR 1.1 million for the same period of 2",positive, adp news   oct 31  2008  finnish food company raisio oyj  omx  raivv  say today net profit jump eur 164 million  usd 209  first nine month 2008 eur 11 million period 2,2
"( ADP News ) - Sep 30 , 2008 - Finnish security and privacy software solutions developer Stonesoft Oyj said today that it won a USD 1.9 million ( EUR 1.3 m ) order to deliver its StoneGate network security products to an unnamed Russian te",positive, adp news   sep 30  2008  finnish security privacy software solution developer stonesoft oyj say today win usd 19 million  eur 13  order deliver stonegate network security product unnamed russian te,2
Outotec 's net profit for the second quarter of 2007 jumped to 16.8 mln euro ( $ 23.1 mln ) from 4.6 mln euro ( $ 6.3 mln ) a year ago .,positive,outotec net profit second quarter 2007 jump 168 mln euro   231 mln  46 mln euro   63 mln  year ago ,2
Pretax profit jumped to EUR 21.9 million from EUR 3.1 million .,positive,pretax profit jump eur 219 million eur 31 million ,2
"Profitability ( EBIT % ) was 13.9 % , compared to 13.1 % in the previous-year period .",positive,profitability  ebit   wa 139   compare 131  previousyear period ,2
"Sales improved to SEK 1,553 mn , compared with SEK 1,408 mn .",positive,sale improve sek 1553 mn  compare sek 1408 mn ,2
"Savon koulutuskuntayhtyma , Finland based company has awarded contract for specialist agricultural or forestry machinery .",positive,savon koulutuskuntayhtyma  finland base company ha award contract specialist agricultural forestry machinery ,2
SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 .,positive,skf 6 april 2010  alandsbanken ha give  buy  recommendation swedish industrial company skf ab  sto  skf b  share price target sek150 ,2
Sports equipment sales also progressed well owing to the prolonged winter season .,positive,sport equipment sale also progress well owe prolong winter season ,2
TELE2 Affarsvarlden gave a `` buy '' recommendation on mobile operator Tele2 AB and a share price target of 142 crowns ( $ 23.54 - 15.19 euro ) .,positive,tele2 affarsvarlden give  buy  recommendation mobile operator tele2 ab share price target 142 crown   2354  1519 euro  ,2
The acquisition will have an immediate positive impact on Aspocomp 's financial result .,positive,acquisition immediate positive impact aspocomp financial result ,2
"The Australian company Mirabela Nickel has awarded Outokumpu Technology a contract for grinding technology for its nickel sulfide project in Bahia State , Brazil .",positive,australian company mirabela nickel ha award outokumpu technology contract grind technology nickel sulfide project bahia state  brazil ,2
The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant .,positive,company also say poland profitability program ha launch oborniki steel frame sandwich panel plant ,2
The Group also has a strong global position in other fishing categories .,positive,group also ha strong global position fish category ,2
"The original name Componenta +àm+Ñl , as a subsidiary of the Finnish Componenta Group , has been changed to +àm+Ñl Components and the company has seen a 63 % growth in Q1 2010 , in comparison to Q1 2009 .",positive,original name componenta àmñl  subsidiary finnish componenta group  ha change àmñl component company ha see 63  growth q1 2010  comparison q1 2009 ,2
This resulted in improved sales figures in Sweden .,positive,result improve sale figure sweden ,2
- UPM-Kymmene upgraded to ` in-line ' from ` underperform ' by Goldman Sachs .,positive, upmkymmene upgrade  inline   underperform  goldman sachs ,2
`` Demand for sports equipment was good in 2005 .,positive, demand sport equipment wa good 2005 ,2
Finlan 's listed food industry company HKScan Group controlled companies in the Baltics improved revenues by EUR 3.5 mn to EUR 160.4 mn in 2010 from EUR 156.9 mn in the year before .,positive,finlan list food industry company hkscan group control company baltic improve revenue eur 35 mn eur 1604 mn 2010 eur 1569 mn year ,2
"Finnish airline Finnair has won a deal with the UK public sector to be the official airline for flights from London Heathrow to Osaka in Japan , as well as flights between Manchester in the UK and Helsinki in Finland .",positive,finnish airline finnair ha win deal uk public sector official airline flight london heathrow osaka japan  well flight manchester uk helsinki finland ,2
Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense .,positive,finnish cargotec kalmar ha receive significant order u department defense ,2
Cargotec Germany GmbH has been awarded a contract by Stadtverwaltung Mainz for chassis bodies under Open procedure .,positive,cargotec germany gmbh ha award contract stadtverwaltung mainz chassis body open procedure ,2
"Earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur .",positive,earn per share quarter also higher yearonyear 033 eur versus 027  market expectation 028 eur ,2
"EBITDA for the year 2009 improved to EUR484m , as compared with EUR472m in 2008 .",positive,ebitda year 2009 improve eur484m  compare eur472m 2008 ,2
"Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia .",positive,finnish construction group lemminkainen oyj hel  lem1s say today ha win contract provide technical service nevsky centre shop mall open november st petersburg  russia ,2
"Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company .",positive,finnish software developer basware oyj say november 30  2006 u subsidiary basware  inc win order provide software contract lifecycle management unnamed u medical technology company ,2
"However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said .",positive,however  sale volume food industry expect remain relatively good level finland scandinavia  atrium say ,2
Nordea sees a return to positive growth for the Baltic countries in 2011 .,positive,nordea see return positive growth baltic country 2011 ,2
Operating profit improved by 16.7 % to EUR 7.7 mn .,positive,operate profit improve 167  eur 77 mn ,2
Operating profit improved by 39.9 % to EUR 18.0 mn from EUR12 .8 mn .,positive,operate profit improve 399  eur 180 mn eur12 8 mn ,2
Operating profit improved by 44.0 % to ER 4.7 mn from EUR 3.3 mn in 2004 .,positive,operate profit improve 440  er 47 mn eur 33 mn 2004 ,2
Operating profit improved to EUR 20.3 mn from EUR 11.4 mn .,positive,operate profit improve eur 203 mn eur 114 mn ,2
"Previously , the company anticipated its operating profit to improve over the same period .",positive,previously  company anticipate operate profit improve period ,2
Productional situation has now improved .,positive,productional situation ha improve ,2
Rautaruukki said construction group YIT has awarded it a 2.5 mln eur contract to supply the steel structures for a new bridge spanning the Kemijoki river in Northern Finland .,positive,rautaruukki say construction group yit ha award 25 mln eur contract supply steel structure new bridge span kemijoki river northern finland ,2
"Sales came in at 241 mln eur , compared with 211.4 mln , and also beating consensus forecasts of 235 mln eur .",positive,sale come 241 mln eur  compare 2114 mln  also beat consensus forecast 235 mln eur ,2
"Thanks to the multiplying effect of wagon performance , transport will be much more efficient , '' says development manager Juha Malkia from VR Cargo .",positive,thank multiply effect wagon performance  transport much efficient   say development manager juha malkia vr cargo ,2
"The company , which makes garden tools , scissors and other consumer goods , said earnings were boosted by 6.9 mln eur of income it received from its 16.7 pct shareholding in Finnish engineering group Wartsila .",positive,company  make garden tool  scissor consumer good  say earn boost 69 mln eur income receive 167 pct shareholding finnish engineer group wartsila ,2
The company anticipates its turnover for the whole 2010 to surpass that of the previous year when it was EUR 67.1 million .,positive,company anticipate turnover whole 2010 surpass previous year wa eur 671 million ,2
The EPS improved to EUR0 .38 from EUR0 .27 .,positive,eps improve eur0 38 eur0 27 ,2
"The financial impact is estimated to be an annual improvement of EUR2 .0 m in the division 's results , as of fiscal year 2008 .",positive,financial impact estimate annual improvement eur2 0 division result  fiscal year 2008 ,2
"The financial impact is estimated to be some 1.5 MEUR annual improvement in the division 's result , starting from fiscal year 2007 .",positive,financial impact estimate 15 meur annual improvement division result  start fiscal year 2007 ,2
The rationalization of the operations seeks to achieve over EUR 1 million in yearly savings as from the second quarter of the current financial year .,positive,rationalization operation seek achieve eur 1 million yearly save second quarter current financial year ,2
"The sale , which will result in a gain of some EUR 60 million in the second quarter of 2010 for Oriola-KD , supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations .",positive,sale  result gain eur 60 million second quarter 2010 oriolakd  support finnish company strategy focus pharmaceutical wholesale retail operation ,2
"Turun kaupunkin , Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work .",positive,turun kaupunkin  finland base company ha award contract lemminkainen talotekniikka oy electrical installation work ,2
These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .,positive,moderate significant change result significant 2432  reduction estimate cvd risk ,2
Uponor improved its performance in spite of the decrease in residential construction in the US .,positive,uponor improve performance spite decrease residential construction u ,2
"Simultaneously , his responsibility area is extended from legal affairs to cover also mergers and acquisitions .",neutral,simultaneously  responsibility area extend legal affair cover also merger acquisition ,1
"Once your plants are in the ground they will continue to grow , but the success of any garden lies in how well it 's maintained .",neutral,plant grind continue grow  success garden lie well maintain ,1
"Poyry 's contract includes engineering management , civil and detail engineering services , and time scheduling and procurement services .",neutral,poyry contract include engineer management  civil detail engineer service  time schedule procurement service ,1
"Addus ' services include personal care and assistance with activities of daily living , skilled nursing and rehabilitative therapies , and adult day care .",neutral,addus  service include personal care assistance activity daily live  skilled nurse rehabilitative therapy  adult day care ,1
"Aldata Solution Oyj Bertrand Sciard President and CEO Further information : Aldata Solution Oyj , Bertrand Sciard , President and CEO , tel. +33 1 46 48 28 00 Aldata 100 % Retail-Wholesale At Aldata 100 % of our business is dedicated to retail and wholesale business improvement .",neutral,aldata solution oyj bertrand sciard president ceo information  aldata solution oyj  bertrand sciard  president ceo  tel 33 1 46 48 28 00 aldata 100  retailwholesale aldata 100  business dedicate retail wholesale business improvement ,1
Alfa group will have 43.9 % of voting stock in the new company and Telenor 35.4 % with a free float of 20.7 % .,neutral,alfa group 439  vote stock new company telenor 354  free float 207  ,1
Altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention .,neutral,altogether 150 subject mildly elevate cholesterol level participate fourmonth long intervention ,1
"Arto Ryymin , born 1964 , will replace Juhani Kaisanlahti who has worked as acting EVP , Healthcare & Welfare since August 2007 .",neutral,arto ryymin  bear 1964  replace juhani kaisanlahti ha work act evp  healthcare  welfare since august 2007 ,1
At CapMan Haavisto will be responsible for Group Finances and Accounting and IT .,neutral,capman haavisto responsible group finance account ,1
"Cablevision Systems Corp. CVC Their Madison Square Garden division owns and operates the New York Knickerbockers basketball team ; they also own the Madison Square Garden Arena , the New York Rangers hockey team , the New York Liberty women 's basketball team , and the Hartford Wolf Pack hockey team .",neutral,cablevision system corp cvc madison square garden division operate new york knickerbockers basketball team  also madison square garden arena  new york ranger hockey team  new york liberty woman basketball team  hartford wolf pack hockey team ,1
"CapMan has six investment areas CapMan Buyout , CapMan Technology , CapMan Life Science , CapMan Russia , CapMan Public Market and CapMan Real Estate , and each of them has a dedicated team and funds .",neutral,capman ha six investment area capman buyout  capman technology  capman life science  capman russia  capman public market capman real estate  ha dedicate team fund ,1
"CapMan Plc Press Release 31 March 2008 Jukka Ruuska , President of the OMX Nordic Exchanges and the Stockholm Stock Exchange , will transfer to CapMan effective no later than September 2008 .",neutral,capman plc press release 31 march 2008 jukka ruuska  president omx nordic exchange stockholm stock exchange  transfer capman effective later september 2008 ,1
"cents The profile contains business operations , the company history , major products and services , prospects , key competitors , structure and key employees , locations and subsidiaries .",neutral,cent profile contain business operation  company history  major product service  prospect  key competitor  structure key employee  location subsidiary ,1
"Conference Call To participate via a conference call , please dial in 5-10 minutes before the beginning of the event : +44 0 20 7162 0025 Europe or +1 334-á323-á6201 USA .",neutral,conference call participate via conference call  please dial 510 minute begin event  44 0 20 7162 0025 europe 1 334á323á6201 usa ,1
Construction is scheduled to start in April-June 2007 and to be completed in early 2008 .,neutral,construction schedule start apriljune 2007 complete early 2008 ,1
"Founded in 1946 , Strand Associates , which provides civil , environmental , transportation , electrical and mechanical engineering services , has 350 employees at 10 offices in Wisconsin , Alabama , Illinois , Indiana , Kentucky and Ohio .",neutral,found 1946  strand associate  provide civil  environmental  transportation  electrical mechanical engineer service  ha 350 employee 10 office wisconsin  alabama  illinois  indiana  kentucky ohio ,1
Halonen 's office acknowledged receiving the letter but declined comment .,neutral,halonen office acknowledge receive letter decline comment ,1
"Headquartered in this city , the company is nearly 75 years old and focuses on science-based innovation and technology for environmental measurement .",neutral,headquarter city  company nearly 75 year old focus sciencebased innovation technology environmental measurement ,1
"In 2009 , Lee & Man had a combined annual production capacity of close to 4.5 million tonnes of paper and 300,000 tonnes of pulp .",neutral,2009  lee  man combine annual production capacity close 45 million tonne paper 300000 tonne pulp ,1
"In the method the smelt spouts 2 are separated from the working area 6 by a shielding wall 8 , 10 arranged movable in relation to the smelt spouts .",neutral,method smelt spout 2 separate work area 6 shield wall 8  10 arrange movable relation smelt spout ,1
"It is necessary to strengthen the company 's operations , however .",neutral,necessary strengthen company operation  however ,1
Le Lay succeeds Walter G++nter and will be based in Finland .,neutral,le lay succeed walter gnter base finland ,1
"Lemminkainen Infra Oy 's subsidiary Lemminkainen Sverige AB will perform the construction work , which is expected to start in early 2011 and to be completed in the summer of 2013 .",neutral,lemminkainen infra oy subsidiary lemminkainen sverige ab perform construction work  expect start early 2011 complete summer 2013 ,1
"Los Angeles-based Pacific Office Properties Trust acquires , owns , and operates office properties in the western U.S. , focusing initially on the markets of Honolulu , San Diego , Los Angeles , and Phoenix .",neutral,los angelesbased pacific office property trust acquire   operate office property western u  focus initially market honolulu  san diego  los angeles  phoenix ,1
"Mr. Mikko Saavalainen , head of Comptel 's Global Sales concludes : `` Gibtelecom provides a perfect illustration of the variety of business , technical and regulatory challenges operators are facing in their OSS today .",neutral,mr mikko saavalainen  head comptel global sale conclude   gibtelecom provide perfect illustration variety business  technical regulatory challenge operator face os today ,1
"Professional and consumer applications include personal navigation , personal safety , field and workflow management , and asset tracking .",neutral,professional consumer application include personal navigation  personal safety  field workflow management  asset track ,1
Satama and Trainers ' House will remain as names and independent brands of the business areas .,neutral,satama trainer  house remain name independent brand business area ,1
"The above mentioned shareholders will suggest that a monthly salary of EUR 1,400 would be paid for the Board members outside the company .",neutral,mention shareholder suggest monthly salary eur 1400 would pay board member outside company ,1
"The address location is provided to a local controller , preferably by wireless transmission , which then uses the address location to access the appliance control module .",neutral,address location provide local controller  preferably wireless transmission  us address location access appliance control module ,1
The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws .,neutral,bank also examine benefit transfer swedish business operate branch office operation would govern finland law ,1
"The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+ñskyl+ñ , Oulu and Vaasa , and to polytechnics to be announced later .",neutral,donation grant aalto university university helsinki  tampere  turku  eastern finland  jyvñskylñ  oulu vaasa  polytechnic announce later ,1
"The guidance has been set at 90 basis points over mid-swaps , the report said .",neutral,guidance ha set 90 basis point midswaps  report say ,1
The invention carries International Patent Publication No. .,neutral,invention carry international patent publication ,1
"The inventors are Bylander Johan , Ponten Fredrik and Lundberg Jorgen .",neutral,inventor bylander johan  ponten fredrik lundberg jorgen ,1
"The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam .",neutral,inventor mukkavilli krishna kiran  sabharwal ashutosh aazhang behnaam ,1
"The Inventors are Ridge Justin , Bao Yiliang and Karczewicz Marta .",neutral,inventor ridge justin  bao yiliang karczewicz marta ,1
The issuer is solely responsible for the content of this announcement .,neutral,issuer solely responsible content announcement ,1
The issuer is solely responsible for the content of this announcement .,neutral,issuer solely responsible content announcement ,1
"The market making in accordance with the agreement will begin on September 24 , 2009 .",neutral,market make accordance agreement begin september 24  2009 ,1
"The offer price is $ 35 million , including cash of $ 10 million as net debt assumption of FACE , and $ 20 million worth of Cencorp shares to be issued to Savcor .",neutral,offer price  35 million  include cash  10 million net debt assumption face   20 million worth cencorp share issue savcor ,1
The original patent was filed in Finland under application No. .,neutral,original patent wa file finland application ,1
The Swedish subsidiary holds 1.0 % net smelter return `` NSR '' royalties over two advanced copper projects in northern Sweden - the Viscaria and Adak Projects - being developed by Avalon Minerals Ltd. ASX : AVI .,neutral,swedish subsidiary hold 10  net smelter return  nsr  royalty two advance copper project northern sweden  viscaria adak project  develop avalon mineral ltd asx  avi ,1
"The total investment in the Vantaa plant extension will amount to around 10 million euro , and Okmetic 's share of the investments will be worth around 2.7 million .",neutral,total investment vantaa plant extension amount around 10 million euro  okmetic share investment worth around 27 million ,1
Welcome !,neutral,welcome ,1
